Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Media
8710510063,"Mar 14, 2023, 1:04:38 AM",Evening Run,Run,"",906,2.89,,,false,,"",activities/9349251252.fit.gz,,,906.0,906.0,2893.0,5.400000095367432,3.1931567192077637,30.14866828918457,22.0,1621.4000244140625,1639.199951171875,6.25,0.12789492309093475,,,90.0,86.50503540039062,,,,,249.0,,,,,,,,,,,,,,,,0.0,,1.0,2928.0,1678755584.0,2.0,11.239999771118164,11.239999771118164,-7.46999979019165,0.25999999046325684,1012.7999877929688,2.180000066757202,5.369999885559082,328.0,0.0,1678713344.0,1678755968.0,0.7200000286102295,,13853811.0,0.0,,0.6299999952316284,4324.0,0.0,335.29998779296875,,,,0.0,3.1931567192077637,625.0,,,,,,,,,,""
8716161736,"Mar 15, 2023, 1:11:09 AM",Evening Run,Run,"",1828,5.82,167.0,44,false,,"",activities/9355328913.fit.gz,,,1828.0,1825.0,5823.0,4.599999904632568,3.1906850337982178,33.91447067260742,23.0,1621.199951171875,1637.4000244140625,7.2727274894714355,0.15799416601657867,,,95.0,86.73934936523438,,152.4293670654297,,,467.0,,,44.0,,,,,,,,,,,,,0.0,,1.0,5886.39990234375,1678841984.0,2.0,14.75,14.75,-12.289999961853027,0.14000000059604645,1008.4000244140625,2.0,4.739999771118164,18.0,0.0,1678799616.0,1678842368.0,0.75,,13853811.0,0.0,,0.8700000047683716,2463.0,0.0,312.0,,,,0.0,3.18544864654541,300.0,,,,10402.0,,,,,,""
8716268112,"Dec 26, 2022, 2:54:47 PM",Morning Run,Run,"",1633,2.65,157.0,1,false,"","",activities/9355439698.fit.gz,,,1633.0,1110.0,2650.0,15.342857360839844,2.387387275695801,6.15749979019165,12.757499694824219,1622.5999755859375,1631.300048828125,10.131579399108887,-0.2490566074848175,,,102.0,73.72164916992188,,133.0360870361328,,,305.0,,,1.0,,,,,,,,,,,0.0,,0.0,,1.0,2680.800048828125,1672063232.0,2.0,-3.640000104904175,-6.630000114440918,-5.570000171661377,0.8600000143051147,1027.5999755859375,1.9500000476837158,2.9600000381469727,175.0,0.0,1672064512.0,1672098176.0,0.15000000596046448,,13853811.0,0.0,,0.4300000071525574,16093.0,0.0,300.6000061035156,,,,0.0,1.622780203819275,160.0,,,,7196.0,,,,,,""
8716268113,"Feb 14, 2023, 2:11:13 AM",Evening Run,Run,"",896,2.81,173.0,30,false,"","",activities/9355439717.fit.gz,,,896.0,896.0,2813.0,5.800000190734863,3.1395089626312256,23.228878021240234,0.0,1621.0,1635.4000244140625,5.0,0.0,,,90.0,86.47840881347656,,160.8545379638672,,,256.0,,,30.0,,,,,,,,,,,0.0,,0.0,,1.0,2832.199951171875,1676339968.0,3.0,9.550000190734863,7.409999847412109,-1.6699999570846558,0.44999998807907104,996.4000244140625,4.090000152587891,8.25,154.0,0.0,1676296576.0,1676334848.0,0.7699999809265137,,13853811.0,0.0,,0.9100000262260437,3283.0,0.0,336.8999938964844,,,,0.0,3.1395089626312256,50.0,,,,5126.0,,,,,,""
8716268119,"Feb 15, 2023, 12:33:29 AM",Afternoon Run,Run,"",1179,3.38,176.0,17,false,"","",activities/9355439720.fit.gz,,,1179.0,1102.0,3382.0,5.599999904632568,3.068965435028076,27.941869735717773,9.0,1621.5999755859375,1637.4000244140625,6.0,0.02661147341132164,,,105.0,85.9232406616211,,141.38865661621094,,,256.0,,,17.0,,,,,,,,,,,0.0,,0.0,,1.0,3412.10009765625,1676419200.0,2.0,4.420000076293945,1.0,-8.539999961853027,0.3799999952316284,996.0,4.260000228881836,7.309999942779541,109.0,0.0,1676382848.0,1676421376.0,0.800000011920929,,13853811.0,0.0,,0.7400000095367432,6267.0,0.0,357.0,,,,0.0,2.868532657623291,363.0,,,,5752.0,,,,,,""
8716268121,"Jan 8, 2023, 12:02:48 AM",Afternoon Run,Run,"",1357,3.65,166.0,24,false,"","",activities/9355439700.fit.gz,,,1357.0,1355.0,3652.0,4.400000095367432,2.6952030658721924,39.780704498291016,8.0,1621.4000244140625,1638.9000244140625,6.25,0.21631982922554016,,,97.0,82.72711944580078,,146.83103942871094,,,312.0,,,24.0,,,,,,,,,,,0.0,,0.0,,1.0,3712.199951171875,1673136000.0,1.0,4.46999979019165,2.549999952316284,-5.03000020980835,0.5,1024.0999755859375,2.200000047683716,4.059999942779541,279.0,0.0,1673101312.0,1673135616.0,0.5400000214576721,,13853811.0,0.0,,0.019999999552965164,660.0,0.0,319.8999938964844,,,,0.0,2.6912307739257812,558.0,,,,7048.0,,,,,,""
8716268123,"Feb 6, 2023, 12:57:07 AM",Afternoon Run,Run,"",1401,3.45,181.0,39,false,"","",activities/9355439705.fit.gz,,,1401.0,1334.0,3454.0,5.599999904632568,2.589205503463745,35.19367599487305,12.0,1621.0999755859375,1639.199951171875,7.142857074737549,0.04921829700469971,,,100.0,81.56787872314453,,156.3390350341797,,,363.0,,,39.0,,,,,,,,,,,0.0,,0.0,,1.0,3499.60009765625,1675641600.0,1.0,7.230000019073486,5.610000133514404,-5.679999828338623,0.38999998569488525,1007.4000244140625,2.4000000953674316,4.869999885559082,338.0,0.0,1675605888.0,1675643136.0,0.5099999904632568,,13853811.0,0.0,,0.15000000596046448,3525.0,0.0,286.70001220703125,,,,0.0,2.4653818607330322,834.0,,,,6610.0,,,,,,""
8716268125,"Feb 11, 2023, 7:42:47 PM",Lunch Run,Run,"",1479,4.75,161.0,36,false,"","",activities/9355439709.fit.gz,,,1479.0,1476.0,4756.0,4.800000190734863,3.222222328186035,24.092866897583008,10.0,1616.4000244140625,1637.4000244140625,7.142857074737549,-0.10933557897806168,,,93.0,86.7249984741211,,152.06666564941406,,,376.0,,,36.0,,,,,,,,,,,0.0,,0.0,,1.0,4778.0,1676141952.0,1.0,15.020000457763672,15.020000457763672,-11.800000190734863,0.15000000596046448,1014.2000122070312,1.4199999570846558,2.630000114440918,137.0,0.0,1676123904.0,1676161920.0,0.699999988079071,,13853811.0,0.0,,0.28999999165534973,9754.0,3.0,301.29998779296875,,,,0.0,3.215686321258545,218.0,,,,8348.0,,,,,,""
8716268126,"Feb 4, 2023, 2:41:14 PM",Morning Run,Run,"",932,2.82,175.0,33,false,"","",activities/9355439701.fit.gz,,,932.0,919.0,2828.0,9.600000381469727,3.0772578716278076,23.67038345336914,9.0,1621.0,1631.0999755859375,22.5,0.017680339515209198,,,93.0,84.86203002929688,,159.77947998046875,,,264.0,,,33.0,,,,,,,,,,,0.0,,0.0,,1.0,2861.60009765625,1675519232.0,2.0,7.53000020980835,4.710000038146973,-14.649999618530273,0.1899999976158142,1018.0999755859375,4.53000020980835,8.949999809265137,292.0,0.0,1675519616.0,1675556608.0,0.47999998927116394,,13853811.0,0.0,,0.800000011920929,2303.0,0.0,326.8999938964844,,,,0.0,3.034334659576416,713.0,,,,5226.0,,,,,,""
8716268127,"Feb 12, 2023, 3:56:25 PM",Morning Run,Run,"",1684,4.95,180.0,67,false,"","",activities/9355439715.fit.gz,,,1684.0,1586.0,4953.0,5.599999904632568,3.122950792312622,43.99481964111328,20.0,1621.0999755859375,1639.199951171875,8.181818008422852,-0.016151826828718185,,,99.0,88.7143783569336,,165.63124084472656,,,485.0,,,67.0,,,,,,,,,,,0.0,,0.0,,1.0,4992.39990234375,1676214016.0,2.0,2.0199999809265137,0.23000000417232513,-6.329999923706055,0.5400000214576721,1016.2000122070312,1.7300000190734863,3.0,171.0,0.0,1676210176.0,1676248448.0,0.7300000190734863,,13853811.0,0.0,,0.38999998569488525,1451.0,0.0,318.20001220703125,,,,0.0,2.941211462020874,1106.0,,,,9290.0,,,,,,""
8716268130,"Dec 28, 2022, 3:07:00 PM",Morning Run,Run,"",1549,4.86,173.0,57,false,"","",activities/9355439699.fit.gz,,,1549.0,1502.0,4865.0,4.599999904632568,3.2390146255493164,26.382036209106445,0.0,1619.5999755859375,1637.800048828125,6.363636493682861,0.028776979073882103,,,92.0,88.16928100585938,,162.2278289794922,,,443.0,,,57.0,,,,,,,,,,,0.0,,0.0,,1.0,4901.0,1672239616.0,3.0,4.03000020980835,1.9700000286102295,-3.1500000953674316,0.6000000238418579,997.2000122070312,2.259999990463257,3.9800000190734863,184.0,0.0,1672237312.0,1672271104.0,0.2199999988079071,,13853811.0,0.0,,0.9200000166893005,2299.0,0.0,277.3999938964844,,,,0.0,3.1407358646392822,347.0,,,,8698.0,,,,,,""
8716268145,"Feb 25, 2023, 2:41:29 PM",Morning Run,Run,"",812,2.44,158.0,13,false,"","",activities/9355439736.fit.gz,,,812.0,801.0,2442.0,4.599999904632568,3.048689126968384,26.020750045776367,15.0,1621.4000244140625,1638.9000244140625,8.88888931274414,0.11875511705875397,,,98.0,88.06438446044922,,144.91268920898438,,,190.0,,,13.0,,,,,,,,,,,0.0,,0.0,,1.0,2476.89990234375,1677333632.0,1.0,-5.949999809265137,-5.949999809265137,-10.239999771118164,0.7200000286102295,1020.2000122070312,0.75,1.8300000429153442,152.0,0.0,1677332352.0,1677372544.0,0.20999999344348907,,13853811.0,0.0,,0.019999999552965164,0.0,0.0,317.0,,,,0.0,3.0073890686035156,100.0,,,,4448.0,,,,,,""
