name,distance_m,moving_time_s,elapsed_time_s,elevation_change_m,type,date,average_cadence,average_heartrate,max_heartrate,pace_per_mile,distance_mi,id,time_of_day,average_zone,max_zone,ratio_avg_hr_to_max_hr
Evening Run,5823,0 days 00:30:25,1828,10.9,Run,2022-12-26,86.7,152.4,167,0 days 00:08:24.143646408,3.62,,evening,3,4,0.9125748502994012
Morning Run,2650,0 days 00:18:30,1633,-6.6,Run,2022-12-28,73.7,133.0,157,0 days 00:11:12.727272727,1.65,,morning,2,4,0.8471337579617835
Evening Run,2813,0 days 00:14:56,896,23.2,Run,2023-01-08,86.5,160.9,173,0 days 00:08:32,1.75,,evening,4,5,0.9300578034682081
Afternoon Run,3382,0 days 00:18:22,1179,18.9,Run,2023-02-04,85.9,141.4,176,0 days 00:08:44.761904761,2.1,,afternoon,3,5,0.803409090909091
Afternoon Run,3652,0 days 00:22:35,1357,31.8,Run,2023-02-06,82.7,146.8,166,0 days 00:09:56.916299559,2.27,,afternoon,3,4,0.8843373493975905
Afternoon Run,3454,0 days 00:22:14,1401,23.2,Run,2023-02-11,81.6,156.3,181,0 days 00:10:20.465116279,2.15,,afternoon,4,5,0.86353591160221
Afternoon Run,4756,0 days 00:24:36,1479,14.1,Run,2023-02-12,86.7,152.1,161,0 days 00:08:18.648648648,2.96,,afternoon,3,4,0.94472049689441
Morning Run,2828,0 days 00:15:19,932,14.7,Run,2023-02-14,84.9,159.8,175,0 days 00:08:42.159090909,1.76,,morning,4,5,0.9131428571428573
Morning Run,4953,0 days 00:26:26,1684,24.0,Run,2023-02-15,88.7,165.6,180,0 days 00:08:34.935064935,3.08,,morning,4,5,0.9199999999999999
Morning Run,4865,0 days 00:25:02,1549,26.4,Run,2023-02-17,88.2,162.2,173,0 days 00:08:17.350993377,3.02,,morning,4,5,0.93757225433526
Morning Run,2442,0 days 00:13:21,812,11.0,Run,2023-02-18,88.1,144.9,158,0 days 00:08:46.973684210,1.52,,morning,3,4,0.9170886075949367
Evening Run,2654,0 days 00:14:43,883,7.2,Run,2023-02-21,85.6,150.7,163,0 days 00:08:55.151515151,1.65,,evening,3,4,0.9245398773006134
Evening Run,3414,0 days 00:19:33,1253,29.9,Run,2023-02-22,87.6,157.9,176,0 days 00:09:13.301886792,2.12,,evening,4,5,0.897159090909091
Evening Run,4325,0 days 00:24:34,1531,29.0,Run,2023-02-25,83.4,147.8,174,0 days 00:09:07.955390334,2.69,,evening,3,5,0.849425287356322
Morning Run,6428,0 days 00:32:54,1990,18.8,Run,2023-02-27,89.4,158.2,172,0 days 00:08:13.500000,4.0,,morning,4,5,0.919767441860465
Evening Run,5728,0 days 00:31:09,1869,6.8,Run,2023-02-28,86.6,162.0,171,0 days 00:08:45,3.56,,evening,4,4,0.9473684210526315
Afternoon Run,6776,0 days 00:35:55,2232,35.4,Run,2023-03-03,87.8,155.5,172,0 days 00:08:31.876484560,4.21,,afternoon,4,5,0.9040697674418605
Evening Run,8087,0 days 00:42:14,2534,16.7,Run,2023-03-15,88.4,155.5,168,0 days 00:08:23.777335984,5.03,,evening,4,4,0.9255952380952381
Evening Run,5150,0 days 00:28:59,1854,36.1,Run,2023-03-16,83.7,147.2,174,0 days 00:09:03.437500,3.2,,evening,3,5,0.8459770114942529
Morning Run,8798,0 days 00:44:33,2688,8.5,Run,2023-03-19,88.3,155.9,165,0 days 00:08:08.665447897,5.47,,morning,4,4,0.9448484848484849
Evening Run,2903,0 days 00:15:59,959,1.3,Run,2023-03-21,85.8,152.0,171,0 days 00:08:52.777777777,1.8,,evening,3,4,0.8888888888888888
Evening Run,4860,0 days 00:26:43,1605,16.1,Run,2023-03-22,86.9,147.9,163,0 days 00:08:50.794701986,3.02,,evening,3,4,0.907361963190184
Morning Run,5355,0 days 00:23:15,1401,-100.0,Run,2023-03-25,88.4,148.5,167,0 days 00:06:58.918918918,3.33,,morning,3,4,0.8892215568862275
Afternoon Run,6457,0 days 00:31:42,1916,-28.0,Run,2023-04-01,88.6,157.8,172,0 days 00:07:54.314214463,4.01,,afternoon,4,5,0.9174418604651163
Morning Run,15043,0 days 01:20:12,4855,20.7,Run,2023-04-02,88.5,160.6,171,0 days 00:08:34.652406417,9.35,,morning,4,4,0.9391812865497076
Evening Run,7034,0 days 00:35:41,2150,14.9,Run,2023-04-07,88.3,153.0,163,0 days 00:08:09.931350114,4.37,,evening,4,4,0.9386503067484663
Afternoon Run,4360,0 days 00:20:47,1336,40.6,Run,2023-04-07,90.0,155.8,173,0 days 00:07:40.147601476,2.71,,afternoon,4,5,0.900578034682081
Afternoon Run,7220,0 days 00:38:48,2344,1.3,Run,2023-04-09,88.8,151.1,160,0 days 00:08:38.485523385,4.49,,afternoon,3,4,0.944375
Evening Run,5147,0 days 00:23:51,2065,40.1,Run,2023-04-12,90.7,152.0,167,0 days 00:07:27.187500,3.2,,evening,3,4,0.9101796407185628
Evening Run,6808,0 days 00:34:35,2081,4.2,Run,2023-04-14,88.5,150.2,168,0 days 00:08:10.543735224,4.23,,evening,3,4,0.894047619047619
Evening Run,16128,0 days 01:24:08,5053,15.2,Run,2023-04-18,88.1,154.5,173,0 days 00:08:23.792415169,10.02,,evening,4,5,0.8930635838150289
Evening Run,2684,0 days 00:15:18,923,13.6,Run,2023-04-19,85.6,151.5,160,0 days 00:09:09.700598802,1.67,,evening,3,4,0.946875
Evening Run,2997,0 days 00:15:30,935,-0.4,Run,2023-04-23,86.2,142.8,152,0 days 00:08:20,1.86,,evening,3,3,0.9394736842105263
Evening Run,5048,0 days 00:29:12,1756,9.3,Run,2023-04-24,86.9,148.1,159,0 days 00:09:17.961783439,3.14,,evening,3,4,0.9314465408805032
Evening Run,9356,0 days 00:45:20,2725,35.8,Run,2023-04-27,88.2,167.0,186,0 days 00:07:48.158347676,5.81,,evening,4,5,0.8978494623655914
Afternoon Run,20095,0 days 01:46:33,6464,52.3,Run,2023-04-30,88.2,156.4,170,0 days 00:08:31.849479583,12.49,,afternoon,4,4,0.92
Night Run,2709,0 days 00:15:47,947,3.6,Run,2023-05-02,85.8,148.7,164,0 days 00:09:23.690476190,1.68,,night,3,4,0.9067073170731706
Evening Run,11047,0 days 01:00:06,3638,37.0,Run,2023-05-05,86.6,154.1,165,0 days 00:08:44.890829694,6.87,,evening,4,4,0.933939393939394
Evening Run,7624,0 days 00:41:12,2472,-3.8,Run,2023-05-08,87.6,155.7,163,0 days 00:08:41.518987341,4.74,,evening,4,4,0.9552147239263803
Evening Run,5151,0 days 00:23:49,1456,15.8,Run,2023-05-13,89.8,138.9,149,0 days 00:07:26.562500,3.2,,evening,3,3,0.9322147651006711
Morning Run,11312,0 days 00:56:57,3424,28.5,Run,2023-05-14,89.9,155.0,177,0 days 00:08:06.059743954,7.03,,morning,4,5,0.8757062146892656
Evening Run,4597,0 days 00:25:33,1549,11.7,Run,2023-05-19,86.6,153.0,162,0 days 00:08:56.013986013,2.86,,evening,4,4,0.9444444444444444
Morning Run,21441,0 days 01:43:58,6254,-20.7,Run,2023-05-21,90.1,161.5,177,0 days 00:07:47.966991747,13.33,,morning,4,5,0.9124293785310734
Evening Run,4798,0 days 00:25:00,1513,23.5,Run,2023-05-26,87.6,156.2,166,0 days 00:08:23.355704697,2.98,,evening,4,4,0.9409638554216867
Morning Run,10227,0 days 00:48:08,2899,32.2,Run,2023-05-29,90.3,153.4,175,0 days 00:07:34.088050314,6.36,,morning,4,5,0.8765714285714286
Evening Run,2401,0 days 00:12:22,747,9.1,Run,2023-05-31,86.9,158.7,168,0 days 00:08:17.986577181,1.49,,evening,4,4,0.9446428571428571
Evening Run,3979,0 days 00:21:42,1454,18.1,Run,2023-06-03,85.8,152.2,169,0 days 00:08:47.125506072,2.47,,evening,3,4,0.9005917159763313
Evening Run,2776,0 days 00:15:19,924,11.3,Run,2023-06-06,86.3,152.3,163,0 days 00:08:51.213872832,1.73,,evening,3,4,0.9343558282208589
Night Run,4832,0 days 00:27:08,1682,6.4,Run,2023-06-11,85.7,159.4,169,0 days 00:09:02.666666666,3.0,,night,4,4,0.9431952662721894
Evening Run,4991,0 days 00:26:03,1564,-1.1,Run,2023-06-12,86.8,156.3,167,0 days 00:08:24.193548387,3.1,,evening,4,4,0.9359281437125749
Evening Run,6053,0 days 00:30:51,1854,35.7,Run,2023-06-14,87.9,149.6,169,0 days 00:08:12.287234042,3.76,,evening,3,4,0.8852071005917159
Morning Run,4646,0 days 00:24:41,1481,27.6,Run,2023-06-17,87.1,156.1,168,0 days 00:08:32.456747404,2.89,,morning,4,4,0.9291666666666666
Evening Run,3611,0 days 00:21:42,1448,5.0,Run,2023-06-21,81.1,145.0,176,0 days 00:09:41.250000,2.24,,evening,3,5,0.8238636363636364
Night Run,3600,0 days 00:19:05,1198,9.3,Run,2023-06-28,85.9,159.4,176,0 days 00:08:31.160714285,2.24,,night,4,5,0.9056818181818183
Evening Run,7010,0 days 00:35:34,2183,35.9,Run,2023-06-30,87.4,159.8,169,0 days 00:08:09.449541284,4.36,,evening,4,4,0.9455621301775149
Evening Run,4952,0 days 00:27:06,1651,-11.6,Run,2023-07-03,84.2,156.6,185,0 days 00:08:47.922077922,3.08,,evening,4,5,0.8464864864864865
Night Run,2587,0 days 00:15:01,903,3.9,Run,2023-07-04,84.6,147.7,159,0 days 00:09:19.627329192,1.61,,night,3,4,0.9289308176100628
Evening Run,3329,0 days 00:19:22,1214,36.3,Run,2023-07-05,87.5,152.4,175,0 days 00:09:21.352657004,2.07,,evening,3,5,0.8708571428571429
Evening Run,6056,0 days 00:31:01,1923,8.5,Run,2023-07-07,87.0,157.9,175,0 days 00:08:14.946808510,3.76,,evening,4,5,0.9022857142857144
Morning Run,5775,0 days 00:30:00,1823,15.3,Run,2023-07-08,88.7,156.5,173,0 days 00:08:21.392757660,3.59,,morning,4,5,0.9046242774566474
Evening Run,8065,0 days 00:41:32,2518,16.3,Run,2023-07-10,88.2,157.8,172,0 days 00:08:17.405189620,5.01,,evening,4,5,0.9174418604651163
Night Run,2913,0 days 00:16:29,989,13.3,Run,2023-07-11,86.2,144.1,168,0 days 00:09:06.408839779,1.81,,night,3,4,0.8577380952380952
Evening Run,6284,0 days 00:35:54,2242,15.5,Run,2023-07-12,84.6,153.2,178,0 days 00:09:10.895140664,3.91,,evening,4,5,0.8606741573033707
